index,dpt_pseudotime
Run4_126707819506413,0.80112547
Run4_126707819833054,0.5114021
Run4_126765621266222,0.19880962
Run4_126765621271260,0.48036063
Run4_126765648702707,0.26534
Run4_126765667137964,0.22334948
Run4_126776224102750,0.530059
Run4_126776224472427,0.26375508
Run4_126776224631582,0.8960854
Run4_126776224967005,0.09761705
Run4_126776238819254,0.44083267
Run4_126776238855982,0.4942254
Run4_126776251899293,0.066452794
Run4_126776251931483,0.25072908
Run4_126776270318502,0.50365055
Run4_126776271099742,0.25636315
Run4_126834220845997,0.046840306
Run4_126834220883372,0.029690841
Run4_126834233760486,0.2655487
Run4_126834234244003,0.52746
Run4_126834234285342,0.026043218
Run4_126834252307822,0.038789168
Run4_126834252630899,0.5683031
Run4_126834252633822,0.22282046
Run4_126835160693155,0.6090823
Run4_126835160737501,0.60221624
Run4_126835160956259,0.34785163
Run4_126835173481885,0.15449984
Run4_126835173739438,0.4476758
Run4_126835173775662,0.2259249
Run4_126835192150451,0.34634897
Run4_126836622191451,0.049322512
Run4_126836636804846,0.030157793
Run4_126836649679270,0.16517808
Run4_126836650134317,0.60095483
Run4_126836669073710,0.47310713
Run4_126836669073780,0.4974996
Run4_126885745777500,0.25042835
Run4_126885745838956,0.32822978
Run4_126885760485302,0.17611243
Run4_126885760784172,0.18413587
Run4_126885773306787,0.5511527
Run4_126885773822901,0.1779872
Run4_126885773859179,0.21527143
Run4_126885792795486,0.052836712
Run4_126886685359012,0.3513646
Run4_126886685359349,0.23060265
Run4_126886685556019,0.3189666
Run4_126886685825781,0.27312103
Run4_126886700599133,0.25609377
Run4_126886700825827,0.32672766
Run4_126886713125724,0.24519838
Run4_126886713386862,0.42959687
Run4_129457491688822,0.2050926
Run4_129457491929955,0.26492348
Run4_129457506867427,0.53804725
Run4_129457519708470,0.34861365
Run4_129457538058668,0.3453597
Run4_129457538329326,0.7805936
Run4_129457538349940,0.46400195
Run4_129497354620269,0.4601265
Run4_129497354652469,0.4581498
Run4_129497354684213,0.024017906
Run4_129497369303262,0.4617592
Run4_129497369303900,0.5963182
Run4_129497381947316,0.039786994
Run4_129497382115619,0.40710106
Run4_129497382151987,0.10134903
Run4_129497401249067,0.15241016
Run4_129565671210277,0.2912175
Run4_129565671512299,0.5297621
Run4_129565671701293,0.4368127
Run4_129565671745261,0.2795923
Run4_129565671779052,0.2754469
Run4_129565698677470,0.3596983
Run4_129565699234094,0.232507
Run4_129565717621533,0.17179565
Run4_129582985309044,0.02641012
Run4_129582985497013,0.42007163
Run4_129582985592221,0.0628621
Run4_129582985828700,0.24494995
Run4_129583032002916,0.055962205
Run4_129583032162021,0.45710507
Run4_129663530646894,0.42910686
Run4_129663530821476,0.13334695
Run4_129663530850526,0.14585616
Run4_129663530919645,0.06721351
Run4_129663543921453,0.5177506
Run4_129978390767926,0.23343015
Run4_129978418219877,0.4934481
Run4_130057594071836,0.3721505
Run4_130057606915939,0.46352842
Run4_130057607240948,0.93557256
Run4_130126432922459,0.30759156
Run4_130126433146612,0.6463494
Run4_130126433671915,0.04877121
Run4_130126447786731,0.34312716
Run4_130126448081643,0.70837027
Run4_130126460111589,0.5090174
Run4_130126460635380,0.07885747
Run4_130126479289627,0.13614099
Run4_130126479550812,0.03433392
Run4_130134889323939,0.30250603
Run4_130134889380206,0.10717251
Run4_130134903733660,0.17778808
Run4_130134915861341,0.3309667
Run4_130134915902195,0.45701456
Run4_130134916164899,0.20522222
Run4_130134934768988,0.18547152
Run4_130134935485860,0.20952979
Run4_130142270581557,0.017360773
Run4_130142271298979,0.0154424645
Run4_130142286047156,0.052386258
Run4_130142297803558,0.18272427
Run4_130142298069875,0.039447587
Run4_130142298126126,0.09245796
Run4_130142298127654,0.6690721
Run4_130142298336179,0.22216964
Run4_130142298659099,0.93431205
Run4_130142316947294,0.75020695
Run4_130142317537517,0.1082429
Run4_130144686697374,0.09583197
Run4_130144686946166,0.7153287
Run4_130144701430572,0.2849834
Run4_130144713726813,0.0124245845
Run4_130144714475947,0.24886112
Run4_130144732600101,0.20775679
Run4_130144733181734,0.27882504
Run4_130144733412140,0.27337784
Run4_130144733415733,0.5515397
Run4_130184146962341,0.3836515
Run4_130184146991460,0.033627898
Run4_130184147004718,0.01198378
Run4_130184147257766,0.59501153
Run4_130184161421148,0.18838081
Run4_130184174557939,0.5908072
Run4_130184192911205,0.43842024
Run4_130184192936371,0.07894505
Run4_130184193206109,0.22624391
Run4_130185503324012,0.18316132
Run4_130185503820724,0.232142
Run4_130185516701998,0.24550991
Run4_130185534827748,0.10804874
Run4_130185535306013,0.14449571
Run4_130194227447726,0.24519338
Run4_130194227489708,0.29591787
Run4_130194227514652,0.1611671
Run4_130194227747676,0.6736825
Run4_130194240822060,0.3462508
Run4_130194259688686,0.23393762
Run4_130203904260851,0.0415053
Run4_130529086781342,0.21387933
Run4_130529086818542,0.30907348
Run4_130529100774814,0.065383635
Run4_130529101532508,0.25205252
Run4_130529113782572,0.34916508
Run4_130529113819493,0.030615883
Run4_130529132202332,0.35352793
Run4_130529132723550,0.3044121
Run4_130529132926812,0.48700333
Run4_130531368060718,0.19160487
Run4_130531382486963,0.3722354
Run4_130624783240604,0.75623786
Run4_130624798276324,0.8441671
Run4_130624798508909,0.11901699
Run4_130624810796893,0.04479485
Run4_130624830160110,0.062113687
Run4_130675115223459,0.32838175
Run4_130675143007539,0.013594664
Run4_130693100129694,0.33112353
Run4_130693115301102,0.112129524
Run4_130693115308388,0.46828306
Run4_130693115627438,0.04766459
Run4_130693146729315,0.2279419
Run4_130736318245604,0.114965014
Run4_130736318737710,0.3806813
Run4_130736332883894,0.34699973
Run4_130736333405099,0.0906866
Run4_130736333471003,0.89351267
Run4_130736333471020,0.3041819
Run4_130736333643108,0.263515
Run4_130736365160732,0.25558153
Run4_130754437867933,0.21558258
Run4_130754452543710,0.5075646
Run4_130754452774182,0.6215689
Run4_130754465193270,0.16465636
Run4_130754465351916,0.772007
Run4_130754465458027,0.3242863
Run4_130761014603109,0.07789664
Run4_130761029764851,0.36636364
Run4_130761042282796,0.2688175
Run4_130761061195188,0.17789327
Run4_131089713515934,0.19222921
Run4_131089728129452,0.32608595
Run4_131089728190190,0.22629854
Run4_131089728203500,0.34458023
Run4_131089728235884,0.21955505
Run4_131089759922011,0.17179301
Run4_131097901088157,0.12355304
Run4_131097901316828,0.2944773
Run4_131097928022955,0.7710466
Run4_131097928100724,0.051420987
Run4_131097928330142,0.62001723
Run4_131097928816924,0.47281498
Run4_131097946962348,0.20420085
Run4_131097947127195,0.22731721
Run4_131175210441444,0.07714937
Run4_131175225707747,0.11512199
Run4_131175256546094,0.35723317
Run4_131217354877294,0.14317016
Run4_131217355066732,0.089475766
Run4_131217369819939,0.035483394
Run4_131217370073829,0.5575574
Run4_131217382107933,0.26281658
Run4_131217400708342,0.052258004
Run4_131217401166134,0.31014454
Run4_131234266495789,0.5634827
Run4_131234280914166,0.6919545
Run4_131234281244509,0.52402955
Run4_131234293504795,0.118010156
Run4_131234294025451,0.5234752
Run4_131234312121629,0.21751723
Run4_131234312146284,0.021118945
Run4_131234312154540,0.41150418
Run4_131234312894774,0.7363449
Run4_131242050665260,0.4542835
Run4_131242050939755,0.7423697
Run4_131242051128684,0.20690896
Run4_131242051389862,0.50640815
Run4_131242065508790,0.23583579
Run4_131242065607022,0.5510074
Run4_131242065837411,0.6251024
Run4_131242078170357,0.25839546
Run4_131242097031516,0.20869397
Run4_131293456284381,0.2797837
Run4_131293456787380,0.14409757
Run4_131293471271715,0.18599972
Run4_131293471430884,0.29790467
Run4_131293483755363,0.03887202
Run4_131293502367541,0.65240616
Run4_131293502887853,0.20466915
Run4_131309562153836,0.28866348
Run4_131309577292083,0.07707991
Run4_131309590145332,0.369831
Run4_131310501607789,0.23181507
Run4_131310501915060,0.47912484
Run4_131310516333932,0.6534127
Run4_131310516590814,0.2910121
Run4_131310529137381,0.36005718
Run4_133829902621022,0.21075645
Run4_133829902874925,0.43023774
Run4_133829917330675,0.220772
Run4_133829918121182,0.2391424
Run4_133829930108780,0.211658
Run4_133829930109669,0.023120059
Run4_133829949343589,0.29547793
Run4_133854464731940,0.05122215
Run4_133854465215788,0.23972268
Run4_133854510832437,0.10236021
Run4_133854510868318,0.058757544
Run4_133895267445470,0.3879852
Run4_133895281851236,0.69832426
Run4_133895282158836,0.04642432
Run4_133895294208868,0.2563223
Run4_133895294672293,0.2217645
Run4_133895312850291,0.55038273
Run4_133974589631286,0.18611923
Run4_133974590114030,0.6008079
Run4_133974603975516,0.46845728
Run4_133974604798197,0.014758171
Run4_133974617123676,0.40963918
Run4_133974617344747,0.08256273
Run4_133974635801524,0.16438581
Run4_133974636259563,0.2410763
Run4_133982152218341,0.4487681
Run4_134033645096348,0.21314624
Run4_134033645135590,0.51393443
Run4_134033659874678,0.26384458
Run4_134033672984870,0.7298108
Run4_134033691335461,0.059939906
Run4_134041162107302,0.5228307
